pool,x_centre,slope_median,slope_q25,slope_q75,n_blocks_fitted
1bp_WETH_USDC,0.36,-2.776041606296125,-5.46414034852315,-1.603706439031635,1349
1bp_WETH_USDC,0.37,-2.8947408457747934,-6.045797120537101,-1.5408180322227996,1331
1bp_WETH_USDC,0.38,-2.93783373117913,-5.8394652631599735,-1.5657795525668043,1326
1bp_WETH_USDC,0.39,-2.8867445447868594,-6.2113125336010055,-1.5725544393659732,1306
1bp_WETH_USDC,0.4,-2.858308123742229,-6.241607016451161,-1.565423848451703,1298
1bp_WETH_USDC,0.41,-3.05793198434023,-6.507927205289235,-1.5709723965555458,1260
1bp_WETH_USDC,0.42,-3.0792223443969435,-6.933044169266903,-1.5876733687542166,1237
1bp_WETH_USDC,0.43,-3.054986910393568,-6.248635743236396,-1.6019736712277333,1188
1bp_WETH_USDC,0.44,-2.7695388196537465,-5.789856005732484,-1.6159577470970894,1180
1bp_WETH_USDC,0.45,-2.4847086121747672,-5.168660607266032,-1.6051794570441942,1175
1bp_WETH_USDC,0.46,-2.396992565933571,-5.1216771510212595,-1.6084997078620176,1178
1bp_WETH_USDC,0.47,-2.3516461182846853,-5.844478751268835,-1.5736016955562249,1164
1bp_WETH_USDC,0.48,-2.340466175302602,-6.4954547062837245,-1.5210598147557588,1140
1bp_WETH_USDC,0.49,-2.265523999657061,-6.4259979466740536,-1.5041409930982477,1116
1bp_WETH_USDC,0.5,-2.0340427532458154,-5.795262480781652,-1.5020899976903817,1074
30bp_WETH_USDC,-0.5,-0.36519680846617736,-1.1793710312956391,1.4936421519957144,1641
30bp_WETH_USDC,-0.49,-0.49999818344855385,-1.2811192731598051,1.4680395446501306,1641
30bp_WETH_USDC,-0.48,-0.35184686572485724,-1.3125240136455942,1.5068844122069294,1641
30bp_WETH_USDC,-0.47,-0.3471999662170013,-1.221036118677452,1.5618106418838535,1641
30bp_WETH_USDC,-0.46,-0.19822831080164113,-1.1701737585687606,1.4850606282166683,1641
30bp_WETH_USDC,-0.45,-0.19672471335620478,-1.1627020291996772,1.4482039770566377,1641
30bp_WETH_USDC,-0.44,-0.25593236554351007,-1.208943588885914,1.3330479726957787,1641
30bp_WETH_USDC,-0.43,-0.22513911725573685,-1.1849959704426252,1.1206169856037624,1641
30bp_WETH_USDC,-0.42,-0.2650182562936043,-1.2008762343186077,1.221870152372338,1641
30bp_WETH_USDC,-0.41,-0.10981618178575397,-1.173999034724097,1.6334301241919513,1641
30bp_WETH_USDC,-0.4,0.13811693329038643,-1.1292172534189877,1.91416853224015,1641
30bp_WETH_USDC,-0.39,0.11194298121395774,-1.1479954219512347,2.130512308893729,1641
30bp_WETH_USDC,-0.38,-0.09203192509298148,-1.1530302112183792,1.9147023478469716,1641
30bp_WETH_USDC,-0.37,-0.07336209680218542,-1.1070442316402853,1.7932516815157002,1641
30bp_WETH_USDC,-0.36,0.12713691195619836,-1.0353058560157233,1.7288591696602682,1641
30bp_WETH_USDC,-0.35,0.027446109104508683,-0.9853433347321778,1.7650008652609688,1641
30bp_WETH_USDC,-0.34,0.09443862798991565,-1.0601827138671884,1.6263376031016288,1641
30bp_WETH_USDC,-0.33,0.2202766596480275,-1.0200987706112379,1.7047956779908156,1641
30bp_WETH_USDC,-0.32,0.30318871917749546,-0.9463589708999124,2.0459968343574513,1641
30bp_WETH_USDC,-0.31,0.34284123025559515,-0.9951877531564228,2.168015267811612,1641
30bp_WETH_USDC,-0.3,0.32260374234084604,-0.9464221586105347,2.178714236012064,1641
30bp_WETH_USDC,-0.29,0.2928503549215514,-0.9854357732856671,2.2894592126681546,1641
30bp_WETH_USDC,-0.28,0.1373420956303189,-0.922878814294468,2.0820535494075627,1641
30bp_WETH_USDC,-0.27,0.13912241946800827,-0.9283348504483829,2.1854455089508207,1641
30bp_WETH_USDC,-0.26,0.14235418610829936,-0.9339245493998254,2.115527981610373,1641
30bp_WETH_USDC,-0.25,0.24810401805068816,-0.866373254795113,2.3703141511485,1641
30bp_WETH_USDC,-0.24,0.29394215222793574,-0.9539955654805035,2.3070429320074854,1641
30bp_WETH_USDC,-0.23,0.27588616464967475,-0.9870965557238446,2.575954437460755,1641
30bp_WETH_USDC,-0.22,0.31313393396274186,-1.0416930282628747,2.4589582327265127,1641
30bp_WETH_USDC,-0.21,0.2778846261887033,-1.0885585829079523,2.7837629592902364,1641
30bp_WETH_USDC,-0.2,0.10285879488802967,-1.1597713619155836,2.9449861265403223,1641
30bp_WETH_USDC,-0.19,0.1181271281173607,-1.217251873839337,2.944983327178586,1641
30bp_WETH_USDC,-0.18,0.10184152055067563,-1.1906553413395355,2.648666469318952,1641
30bp_WETH_USDC,-0.17,0.13011119616524822,-1.2083118693004558,2.508575897688207,1641
30bp_WETH_USDC,-0.16,0.12633535643729574,-1.1875110547007155,2.5041294421138773,1641
30bp_WETH_USDC,-0.15,0.31081999530120874,-1.0281978022646119,3.086325997596746,1641
30bp_WETH_USDC,-0.14,0.3176300787235413,-0.9852569729256132,3.6514596324487276,1641
30bp_WETH_USDC,-0.13,0.5720461863989301,-0.8744792828814171,3.962087154382321,1641
30bp_WETH_USDC,-0.12,0.7242412725805956,-0.8316675272301356,4.499804359316292,1641
30bp_WETH_USDC,-0.11,0.8489296990476538,-0.6622706511407489,5.562912661721468,1641
30bp_WETH_USDC,-0.1,0.7085650320386078,-0.6545393572852208,5.491742649995205,1641
30bp_WETH_USDC,-0.09,0.5958012635332437,-0.6757740810235549,5.625259986675674,1641
30bp_WETH_USDC,-0.08,0.4526832900251039,-0.7663461448158022,4.041085712500996,1641
30bp_WETH_USDC,-0.07,0.6096177681991121,-0.6801544460419457,3.838603790508911,1641
30bp_WETH_USDC,-0.06,0.9521781399798662,-0.6950224229804346,4.088003086790742,1641
30bp_WETH_USDC,-0.05,1.0688240652106196,-0.6806139871104965,4.373704974367251,1641
30bp_WETH_USDC,-0.04,0.9961623052626342,-0.7563366715250344,4.505878850799467,1641
30bp_WETH_USDC,-0.03,0.42343979344175137,-0.9476453541606206,3.5704919902802303,1641
30bp_WETH_USDC,-0.02,0.02292872343986195,-1.3011024648188592,3.2176866767085754,1641
30bp_WETH_USDC,-0.01,-0.431136049885532,-1.7125213515138802,2.488032877019326,1641
30bp_WETH_USDC,0.0,-0.8612330048707989,-2.463136210904536,1.5161470640136627,1641
30bp_WETH_USDC,0.01,-1.2380184551233862,-3.3284046105970644,1.0563262931456496,1641
30bp_WETH_USDC,0.02,-1.6129581569025364,-4.139065903880826,0.4154506806415374,1641
30bp_WETH_USDC,0.03,-1.7536199461009023,-4.64827202808961,-0.23046983114047837,1641
30bp_WETH_USDC,0.04,-1.8628012316619362,-4.95870281161342,-0.46349863940827796,1641
30bp_WETH_USDC,0.05,-2.047555398349992,-5.202498910912481,-0.5770003407578315,1641
30bp_WETH_USDC,0.06,-2.3120587203328777,-5.609243593776964,-0.9828906537118757,1641
30bp_WETH_USDC,0.07,-2.4131402158541735,-5.428112157442243,-1.0374627850576301,1641
30bp_WETH_USDC,0.08,-2.6335447804438155,-6.32919158825623,-1.0838606534358814,1641
30bp_WETH_USDC,0.09,-2.6930232625595854,-6.601549886812759,-1.1377657901733713,1641
30bp_WETH_USDC,0.1,-2.8548914214239085,-7.084575737390854,-1.2038683903275755,1641
30bp_WETH_USDC,0.11,-2.7057291589109362,-7.18857294004163,-1.1407337213317783,1641
30bp_WETH_USDC,0.12,-2.676033536561212,-7.281677062552321,-1.1355671122991924,1641
30bp_WETH_USDC,0.13,-2.464213016630021,-6.38885794350934,-1.2012285231059532,1641
30bp_WETH_USDC,0.14,-2.3196428062234453,-6.06923429353741,-0.9222383370042971,1641
