pool,block_number,slope,beta_shape,r2
5bp_WETH_USDC,21186263,-3.2256998728237707,1.6128499364118853,0.8516255882963824
5bp_WETH_USDC,21188663,-4.559845099064952,2.279922549532476,0.8553403386106682
5bp_WETH_USDC,21191063,-4.307361386172905,2.1536806930864527,0.8188173627150124
5bp_WETH_USDC,21193463,-4.468614715511581,2.2343073577557906,0.8394511309915517
5bp_WETH_USDC,21195863,-4.4485096116779825,2.2242548058389913,0.8362822605078815
5bp_WETH_USDC,21198263,-2.653589282054182,1.326794641027091,0.7980133507061676
5bp_WETH_USDC,21200663,-2.7362154504447616,1.3681077252223808,0.7938945239755216
5bp_WETH_USDC,21203063,-1.732380468848758,0.866190234424379,0.3184348430702889
5bp_WETH_USDC,21205463,-1.6282933283285117,0.8141466641642559,0.31002875421132914
5bp_WETH_USDC,21207863,-1.6282715963413021,0.8141357981706511,0.30763912313473585
5bp_WETH_USDC,21210263,-1.509036761890588,0.754518380945294,0.2680945210682364
5bp_WETH_USDC,21212663,-1.7209359431562274,0.8604679715781137,0.29225275238871606
5bp_WETH_USDC,21215063,-1.508189992273253,0.7540949961366264,0.259319399790388
5bp_WETH_USDC,21217463,-1.817603434116368,0.908801717058184,0.30785047324566794
5bp_WETH_USDC,21219863,-1.7547506002233526,0.8773753001116763,0.304205586177948
5bp_WETH_USDC,21222263,-1.5155852599420747,0.7577926299710374,0.2730199596601428
5bp_WETH_USDC,21224663,-2.705533106795483,1.3527665533977415,0.519017563842485
5bp_WETH_USDC,21227063,-3.511188213260979,1.7555941066304894,0.5567810409323808
5bp_WETH_USDC,21229463,-3.5863951429888408,1.7931975714944204,0.564263653030294
5bp_WETH_USDC,21231863,-3.5993895895036334,1.7996947947518167,0.6019584612697002
5bp_WETH_USDC,21234263,-3.6947491849053673,1.8473745924526837,0.6148056948933069
5bp_WETH_USDC,21236663,-3.768220538306438,1.884110269153219,0.6204319172850903
5bp_WETH_USDC,21239063,-3.7742960048251577,1.8871480024125789,0.6280441772756273
5bp_WETH_USDC,21241463,-3.656746640854607,1.8283733204273036,0.6000749586447838
5bp_WETH_USDC,21243863,-3.3397451436357355,1.6698725718178677,0.4896608406844821
5bp_WETH_USDC,21246263,-3.3411266209783483,1.6705633104891742,0.4896250169074453
5bp_WETH_USDC,21248663,-3.3280833747382985,1.6640416873691493,0.4847941541041657
5bp_WETH_USDC,21251063,-3.2757361888545584,1.6378680944272792,0.48547945432587203
5bp_WETH_USDC,21253463,-3.232265197114032,1.616132598557016,0.4894352954581017
5bp_WETH_USDC,21255863,-3.2292810058493977,1.6146405029246989,0.48743913748703394
5bp_WETH_USDC,21258263,-3.196992032074572,1.598496016037286,0.4840668791756233
5bp_WETH_USDC,21260663,-3.2421161278626056,1.6210580639313028,0.4879592566220501
5bp_WETH_USDC,21263063,-3.195888288281986,1.597944144140993,0.4902694146198967
5bp_WETH_USDC,21265463,-2.9978968839027456,1.4989484419513728,0.4335172349307074
5bp_WETH_USDC,21267863,-2.978858166609007,1.4894290833045034,0.4303707075394707
