pool,w,branch,n_ticks_median,n_ticks_p5,mass_frac_median,beta_median,beta_iqr
30bp_WETH_USDT,0.02,below,3.0,3.0,0.09203673803093214,-0.6665598946919322,7.412159541168719
30bp_WETH_USDT,0.05,above,8.0,8.0,0.1653495731958748,1.8263463431184699,5.352529283099166
30bp_WETH_USDT,0.05,below,8.0,8.0,0.2062622827796813,-2.9167436691942803,5.78124863086239
30bp_WETH_USDT,0.1,above,17.0,16.0,0.2991679821781329,1.984002454437484,4.502511991815486
30bp_WETH_USDT,0.1,below,17.0,16.0,0.34906285564420314,-3.497636393663345,3.6997101535009644
30bp_WETH_USDT,0.15,above,25.0,25.0,0.43429666448711823,2.3021955791332793,4.284201323976727
30bp_WETH_USDT,0.15,below,25.0,25.0,0.4404779162192603,-3.5493431340353556,3.041168649165024
30bp_WETH_USDT,0.22,above,37.0,36.0,0.5761153987023746,2.6470528465528784,3.410608988399347
30bp_WETH_USDT,0.22,below,37.0,36.0,0.5317974924152346,-3.3540217200346456,2.3316109166352295
30bp_WETH_USDT,0.35,above,58.0,58.0,0.747073165693507,2.7123874463881035,1.9521803648888385
30bp_WETH_USDT,0.35,below,58.0,58.0,0.6372480834790514,-2.631744217957213,1.5416791452274403
30bp_WETH_USDT,0.5,above,83.0,83.0,0.9185104921138304,2.330436602194749,1.9961494882815467
30bp_WETH_USDT,0.5,below,83.0,83.0,0.713838683130404,-2.1054071934559384,0.9714729669696269
5bp_WBTC_USDT,0.02,above,6.0,1.0,0.09843643582462307,1.209660861869489,7.927929935342819
5bp_WBTC_USDT,0.02,below,6.0,1.0,0.1377183277783843,-1.0342866996651978,9.400580024719366
5bp_WBTC_USDT,0.05,above,14.0,3.0,0.24827210830138813,2.1036561994221,6.157556356681721
5bp_WBTC_USDT,0.05,below,13.0,3.0,0.3155466402512037,-3.1268927514379876,8.505649475404248
5bp_WBTC_USDT,0.1,above,25.0,7.0,0.466401100883596,2.5779349353038725,6.1425439294870925
5bp_WBTC_USDT,0.1,below,21.0,4.0,0.5131460596984578,-4.073763657163749,5.604699195532499
5bp_WBTC_USDT,0.15,above,32.0,10.0,0.5937389572956185,3.640697265490131,5.980413920910366
5bp_WBTC_USDT,0.15,below,28.0,6.0,0.6472768882308281,-3.9708852187886907,5.094903803576516
5bp_WBTC_USDT,0.22,above,39.0,10.0,0.7694995968916978,3.7427612232544574,5.867177681219053
5bp_WBTC_USDT,0.22,below,35.0,8.0,0.779178339453141,-3.5337430291253034,3.6299069117602745
5bp_WBTC_USDT,0.35,above,44.0,10.0,0.9308267892314697,3.3937702030289234,3.4809901399716208
5bp_WBTC_USDT,0.35,below,43.0,9.0,0.9255820227336136,-2.7171806422429454,3.4051585359316148
5bp_WBTC_USDT,0.5,above,45.0,10.0,0.9952936480329219,3.3154889575435327,2.445121682758982
